gene,f_statistic,p_value,mean_ALL,mean_CLL,mean_AML,mean_CML
AF063002,328.38846338710044,4.4695394850782197e-147,0.3747867837317561,0.1137789876656096,0.20541947096693133,0.13799405405514467
U88964,323.545823902157,1.6550375982356017e-145,0.5115678264255371,0.5919919319545166,0.3671003875217549,0.37621001379434454
NM_024843,321.626059487299,6.980279223424807e-145,0.1295882832865581,0.08823407832965383,0.28135572064030145,0.34904423702594856
NM_022352,320.0650473036081,2.2568403969468646e-144,0.14562618643859268,0.1844180998970059,0.33293178880493,0.35526041305342393
AU144961,319.80080947963273,2.7535278415724534e-144,0.3650652462907067,0.5094275908379615,0.34198681404270553,0.3555885615736939
AI537887,319.37562631729503,3.7928982977239314e-144,0.4432750251315056,0.3764907031119624,0.5529478570366648,0.6704742977785509
NM_004364,318.4556699918873,7.589495763727616e-144,0.23085041578278084,0.2568163818322154,0.476125738587129,0.47105225920677185
NM_002975,318.1034591536165,9.90054902833144e-144,0.3196335000481559,0.11700839954644505,0.4298269208665604,0.4283685185188473
AI692426,317.3484473823562,1.751247883973877e-143,0.1461727226002424,0.31789606044123947,0.13444474567786038,0.11966717009281001
BC003574,315.38470680861207,7.743502929423719e-143,0.5310799067310237,0.5313531415937822,0.15383828331350352,0.12704901743766875
AA628423,313.80971974983095,2.5595066501619905e-142,0.41529326267442196,0.23210902684977283,0.44711439294110017,0.4482923877793689
NM_004395,312.19144491465596,8.769644051640145e-142,0.3836651269449006,0.16913750620739626,0.24647761920488764,0.2053475054197534
AF353992,309.8402654373288,5.277812044050033e-141,0.4275109431612382,0.5451502026636389,0.4654890716307822,0.495565150366273
NM_024070,308.6523393196916,1.3103255506414251e-140,0.40390476851014917,0.4695455445770473,0.2528505391126013,0.2729575374098712
AB012142,306.1110073460124,9.220147306065658e-140,0.3839080575682701,0.4910414877823133,0.3770614945934904,0.3594068642272506
AY095480,305.03249403326794,2.1153406172894462e-139,0.375266875422329,0.27665659037068924,0.5354043513768378,0.6981455503508102
NM_012447,304.9506141148623,2.2531247814926575e-139,0.4456440809635668,0.31947570001777215,0.225433609046129,0.18358015191069874
AU146891,304.3639590709666,3.5419390328396655e-139,0.4492541410374976,0.11597338317252917,0.33199039219737286,0.23289312764482442
U73936,303.7034931796703,5.89703560966198e-139,0.22326040195745483,0.1871678981898581,0.4534057889583046,0.5050396801427354
AI279062,299.4031084972234,1.651465821309359e-137,0.18154937881013003,0.3602172152025287,0.31824828829282914,0.49144021993459663
U77914,298.82433082728585,2.590661283735115e-137,0.21647675521671772,0.18408169825305923,0.4419050512596211,0.4906174076157947
NM_006892,298.5812357407387,3.130364359153787e-137,0.33644512880149235,0.17729492839190028,0.3569828307379313,0.27737958122824513
BF447954,298.2233868042121,4.136498427786446e-137,0.21106250834685472,0.27145070250967385,0.4387763935188375,0.47209759714991545
NM_004615,297.5314217371448,7.09379955386959e-137,0.403766868351916,0.09840002658831953,0.21239374521829854,0.1504835583009693
AI983428,297.2318468629443,8.961335272073456e-137,0.2664123687534294,0.07379370650329592,0.09798624054782441,0.0743659729311286
D86586,295.53238336063987,3.3811625875243835e-136,0.29815014065969564,0.1374754767800104,0.40180374415236225,0.38479765452617815
AW080832,292.39878550502794,3.9497813506429927e-135,0.39934981202732334,0.1655809796034095,0.16005905709638904,0.16081401004001153
